Unnamed: 0,id,title,sub_title,date_x,persian_date,service,category,relevance,duplicate,protests_categories,protest_ritual,violent,protest_form_en,protest_form_fa,issue,issue_specific,local_national_international,issue_location_name,location_category,target,organizer_type,civil_society_sector,main_political_sector,event_location_name,size_of_participants,arena_name,arena_type,event_date,is_multi_day,date_range_start,date_range_end,days_duration,_processing_status,_model_used,event_day,original_article_id,_is_expanded,duplicate_group_id
58156,61790,تجمعات و راهپیمایی‌ها نباید به قصد ارتکاب جرم باشد,حجتی در گفت‌وگو با ایسنا:,2018-01-03 05:17:52,چهارشنبه ۱۳ دی ۱۳۹۶ - ۰۷:۴۷,سرویس سیاسی,"
                        حقوقی و قضایی
                        
                    ",Yes,Yes,Petitioning,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58158,60193,سفره اغتشاش و آشوب همه را مسموم می سازد/ میان معترض و متعرض مرزبندی شود,آیت الله سعیدی:,2018-01-03 07:19:49,چهارشنبه ۱۳ دی ۱۳۹۶ - ۰۹:۴۹,سرویس استان ها,,Yes,No,N/A,Protest,Unknown,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Political,N/A,National,Unknown,Unknown,Government,Unknown,Unknown,Unknown,قم,Unknown,سالن محراب حرم مطهر,Public place,,No,,,1.0,success,gpt-4o-mini,,,,
58161,61842,به برگزاری تجمعات قانونی و ایجاد تشکل‌ها و اصناف مردمی توجه شود,عضو حزب اعتدال و توسعه :,2018-01-03 07:59:24,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۰:۲۹,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",Yes,Yes,Petitioning,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58168,60100,توضیح رییس دادگستری تهران درباره بازداشتی‌های تجمعات اخیر,,2018-01-03 09:58:59,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۲:۲۸,سرویس سیاسی,"
                        حقوقی و قضایی
                        
                    ",Yes,No,,Protest,Unknown,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Unknown,N/A,National,Unknown,Capital,Judiciary,Unknown,Unknown,Unknown,تهران,Unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58173,61961,در کشور فضا برای اعتراض‌های مسالمت آمیز مردمی وجود دارد,استاندار ایلام:,2018-01-03 11:56:00,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۴:۲۶,سرویس استان ها,"
                        ایلام
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Political,N/A,Local,ایلام,Province Center,Government,Unknown,Unknown,Unknown,ایلام,unknown,Unknown,Public place,,No,,,1.0,success,gpt-4o-mini,,,,
58174,61965,یک فعال دانشجویی:دولت صحنه‌گردانان تجمعات اخیر را به مردم معرفی کند,,2018-01-03 11:57:53,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۴:۲۷,سرویس استان ها,"
                        خراسان رضوی
                        
                    ",Yes,No,Petitioning,Protest,No,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Economic,N/A,Local,خراسان رضوی,Province Center,Government,Political Org./Party,Student Movement,Reformist,Unknown,unknown,Unknown,Unknown,Unknown,No,,,1.0,success,gpt-4o-mini,,,,
58175,61968,دستگیری تعدادی از سردسته‌های تجمعات اخیر در زنجان، ابهر و خرم‌دره,دادستان عمومی و انقلاب زنجان خبر داد,2018-01-03 12:02:40,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۴:۳۲,سرویس سیاسی,"
                        حقوقی و قضایی
                        
                    ",Yes,No,,Protest,Unknown,Unknown,Unknown,Unknown,N/A,Local,زنجان,City,Government,Unknown,Unknown,Unknown,زنجان,Unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58178,59991,مردم مراغه تجمع اخیر در این شهرستان را محکوم کردند,,2018-01-03 13:03:26,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۵:۳۳,سرویس استان ها,"
                        آذربایجان شرقی
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Political,N/A,Local,مراغه,City,Government,Ordinary Citizens,Political,Progovernment,مراغه,medium group < 50,Unknown,Public place,Unknown,No,,,1.0,success,gpt-4o-mini,,,,
58179,60002,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-03 13:14:21,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۵:۴۴,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Political,N/A,National,Unknown,Unknown,Government,Ordinary Citizens,Political,Unknown,Unknown,unknown,Unknown,Public place,13 دی 1396,Yes,8 دی 1396,13 دی 1396,6.0,success,gpt-4o-mini,1.0,60002.0,Yes,21f07e1081fa0e5d30440bd7264902a4
58179,60002,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-03 13:14:21,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۵:۴۴,سرویس عکس,,Yes,Yes,Demonstrative protests (legal and nonviolent),,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,2.0,60002.0,Yes,21f07e1081fa0e5d30440bd7264902a4
58179,60002,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-03 13:14:21,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۵:۴۴,سرویس عکس,,Yes,Yes,Demonstrative protests (legal and nonviolent),,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,3.0,60002.0,Yes,21f07e1081fa0e5d30440bd7264902a4
58179,60002,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-03 13:14:21,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۵:۴۴,سرویس عکس,,Yes,Yes,Demonstrative protests (legal and nonviolent),,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,4.0,60002.0,Yes,21f07e1081fa0e5d30440bd7264902a4
58179,60002,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-03 13:14:21,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۵:۴۴,سرویس عکس,,Yes,Yes,Demonstrative protests (legal and nonviolent),,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,5.0,60002.0,Yes,21f07e1081fa0e5d30440bd7264902a4
58179,60002,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-03 13:14:21,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۵:۴۴,سرویس عکس,,Yes,Yes,Demonstrative protests (legal and nonviolent),,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,6.0,60002.0,Yes,21f07e1081fa0e5d30440bd7264902a4
58182,62006,راه‌اندازی کمپین ملی پیشگیری از چاقی از نیمه دوم دی‌ماه ,,2018-01-03 14:13:29,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۶:۴۳,سرویس استان ها,"
                        فارس
                        
                    ",Yes,No,,,Unknown,N/A,N/A,Health,N/A,National,Unknown,NA,Government,Campaign,Health,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,1.0,success,gpt-4o-mini,,,,
58184,59973,اجازه دهیم معترضان در تجمعات قانونی حضور یابند,استاندار کرمان:,2018-01-03 14:48:46,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۷:۱۸,سرویس استان ها,"
                        کرمان
                        
                    ",Yes,Yes,Petitioning,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,6ef06b702420da93c3b6b692cf5ffa6a
58188,62030,بیانیه حزب کارگزاران درباره تجمعات در سطح کشور,,2018-01-03 17:12:06,چهارشنبه ۱۳ دی ۱۳۹۶ - ۱۹:۴۲,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",Yes,Yes,Petitioning,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58191,59920,تکذیب شهادت و زخمی شدن پرسنل انتظامی پیرانشهر در درگیری‌ها,,2018-01-04 06:15:02,پنجشنبه ۱۴ دی ۱۳۹۶ - ۰۸:۴۵,سرویس استان ها,"
                        آذربایجان غربی
                        
                    ",Yes,No,,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Unknown,N/A,Local,پیرانشهر,City,Law Enforcement Force,Unknown,Unknown,Unknown,پیرانشهر,unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58197,59847,اطلاعیه وزارت اطلاعات درباره دستگیری یک گروه تروریستی در پیرانشهر,,2018-01-04 10:28:30,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۲:۵۸,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",Yes,No,Armed conflict,Armed Conflicts,YES,armed attack,حمله/درگیری مسلحانه,Terrorism,N/A,Local,پیرانشهر,Town,Terrorist groups,Unknown,Unknown,Unknown,پیرانشهر,unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58198,59852,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-04 10:38:19,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۳:۰۸,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Unknown,N/A,National,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,شهرهای مختلف ایران,unknown,Unknown,Unknown,14 دی 1396,Yes,8 دی 1396,13 دی 1396,6.0,success,gpt-4o-mini,1.0,59852.0,Yes,
58198,59852,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-04 10:38:19,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۳:۰۸,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Unknown,N/A,National,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,شهرهای مختلف ایران,unknown,Unknown,Unknown,14 دی 1396,Yes,8 دی 1396,13 دی 1396,6.0,success,gpt-4o-mini,2.0,59852.0,Yes,
58198,59852,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-04 10:38:19,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۳:۰۸,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Unknown,N/A,National,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,شهرهای مختلف ایران,unknown,Unknown,Unknown,14 دی 1396,Yes,8 دی 1396,13 دی 1396,6.0,success,gpt-4o-mini,3.0,59852.0,Yes,
58198,59852,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-04 10:38:19,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۳:۰۸,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Unknown,N/A,National,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,شهرهای مختلف ایران,unknown,Unknown,Unknown,14 دی 1396,Yes,8 دی 1396,13 دی 1396,6.0,success,gpt-4o-mini,4.0,59852.0,Yes,
58198,59852,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-04 10:38:19,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۳:۰۸,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Unknown,N/A,National,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,شهرهای مختلف ایران,unknown,Unknown,Unknown,14 دی 1396,Yes,8 دی 1396,13 دی 1396,6.0,success,gpt-4o-mini,5.0,59852.0,Yes,
58198,59852,راهپیمایی مردم در محکومیت حوادث اخیر - استانها,,2018-01-04 10:38:19,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۳:۰۸,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Unknown,N/A,National,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,شهرهای مختلف ایران,unknown,Unknown,Unknown,14 دی 1396,Yes,8 دی 1396,13 دی 1396,6.0,success,gpt-4o-mini,6.0,59852.0,Yes,
58200,59843,"بیانیه تشکل‌های موسس اتحادیه \تشکل‌های اسلامی دانشجویان ایران \"" پیرامون اعتراضات اخیر کشور""",,2018-01-04 12:18:00,پنجشنبه ۱۴ دی ۱۳۹۶ - ۱۴:۴۸,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",Yes,Yes,Petitioning,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58207,62258,راهپیمایی مردم تهران پس از نماز جمعه برگزار شد,در واکنش به اقدامات مداخلانه‌جویانه آمریکا؛,2018-01-05 10:58:00,جمعه ۱۵ دی ۱۳۹۶ - ۱۳:۲۸,سرویس سیاسی,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Political,N/A,Local,Unknown,Capital,International Institution/Country,Ordinary Citizens,Political,Unknown,تهران,unknown,ایستگاه متروی مصلی امام خمینی (ره),Public place,Unknown,No,,,1.0,success,gpt-4o-mini,,,,
58211,62292,راهپیمایی نمازگزاران تهران در محکومیت حوادث اخیر,,2018-01-05 13:43:00,جمعه ۱۵ دی ۱۳۹۶ - ۱۶:۱۳,سرویس عکس,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Political,N/A,Local,Unknown,Capital,Government,Ordinary Citizens,Political,Unknown,تهران,unknown,Unknown,Public place,15 دی 1396,No,,,1.0,success,gpt-4o-mini,,,,
58221,59575,درسی که از اعتراض یک هفته‌ای در ایران گرفتیم,,2018-01-06 05:41:26,شنبه ۱۶ دی ۱۳۹۶ - ۰۸:۱۱,سرویس ایسنا+,"
                        رسانه دیگر
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,Unknown,public assembly,تجمع / اجتماع,Economic,N/A,National,Unknown,Unknown,Government,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58242,62587,اعلام تعداد دانشجویان بازداشت‌شده علوم پزشکی در تجمعات اخیر/آزادی 3 نفر از دانشجویان,در گفت‌وگوی ایسنا با معاون فرهنگی وزیر بهداشت مطرح شد؛,2018-01-06 15:52:46,شنبه ۱۶ دی ۱۳۹۶ - ۱۸:۲۲,سرویس علمی و دانشگاهی,"
                        صنفی، فرهنگی
                        
                    ",Yes,No,,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Student/university,N/A,Local,Unknown,Unknown,University Officials,Unknown,Student Movement,Unknown,Unknown,small group < 15,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58265,59058,بیانیه انجمن اسلامی مدرسین دانشگاه‌ها درباره اعتراضات اخیر,,2018-01-07 13:02:50,یکشنبه ۱۷ دی ۱۳۹۶ - ۱۵:۳۲,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",Yes,Yes,Petitioning,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58269,58919,تیراندازی به سمت محیط بانان در منطقه حفاظت شده پلنگ دره قم,,2018-01-08 07:04:48,دوشنبه ۱۸ دی ۱۳۹۶ - ۰۹:۳۴,سرویس استان ها,"
                        قم
                        
                    ",Yes,No,Armed conflict,Protest,YES,armed attack,حمله/درگیری مسلحانه,Environmental,N/A,Local,پلنگ دره,Rural,Law Enforcement Force,Unknown,Environmental,Unknown,پلنگ دره,unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58278,62999,تعیین مکانی برای اعتراض در مشهد,شورای شهر تصویب کرد؛,2018-01-08 09:34:24,دوشنبه ۱۸ دی ۱۳۹۶ - ۱۲:۰۴,سرویس استان ها,"
                        خراسان رضوی
                        
                    ",Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Political,N/A,Local,مشهد,City,Municipality/ city councils,Unknown,Unknown,Unknown,مشهد,unknown,تالار شهر,Municipality/ city councils,,No,,,1.0,success,gpt-4o-mini,,,,
58279,58816,برگزاری تجمعات در نقاط فرهنگی و تاریخی به بخش گردشگری ضربه می زند,یک کارشناس گردشگری:,2018-01-08 10:26:24,دوشنبه ۱۸ دی ۱۳۹۶ - ۱۲:۵۶,سرویس استان ها,"
                        اصفهان
                        
                    ",Yes,No,N/A,Protest,Unknown,public assembly,تجمع / اجتماع,Cultural,N/A,Local,اصفهان,City,Government,Unknown,Cultural,Unknown,اصفهان,unknown,میدان نقش‌جهان,Public place,,No,,,1.0,success,gpt-4o-mini,,,,
